# Lid-Driven Cavity Re=5000, N=64, WP Cumulant lambda=1e-02
# Section 1: u_x along vertical centerline (x=0.5)
type,position,value_sim,value_ghia
u_centerline,0.007812,-0.0296124563,
u_centerline,0.023438,-0.0840872842,
u_centerline,0.039062,-0.1218288487,
u_centerline,0.054688,-0.1486731514,
u_centerline,0.070312,-0.1701950032,
u_centerline,0.085938,-0.1854174637,
u_centerline,0.101562,-0.1934184528,
u_centerline,0.117188,-0.1926883199,
u_centerline,0.132812,-0.1860993316,
u_centerline,0.148438,-0.1734004909,
u_centerline,0.164062,-0.1618532237,
u_centerline,0.179688,-0.1484464048,
u_centerline,0.195312,-0.1386948821,
u_centerline,0.210938,-0.1291000434,
u_centerline,0.226562,-0.1235645504,
u_centerline,0.242188,-0.1181316934,
u_centerline,0.257812,-0.1141436107,
u_centerline,0.273438,-0.1102113740,
u_centerline,0.289062,-0.1066268987,
u_centerline,0.304688,-0.1029274388,
u_centerline,0.320312,-0.0987780030,
u_centerline,0.335938,-0.0935835679,
u_centerline,0.351562,-0.0873140360,
u_centerline,0.367188,-0.0803198490,
u_centerline,0.382812,-0.0738407588,
u_centerline,0.398438,-0.0669253852,
u_centerline,0.414062,-0.0617451175,
u_centerline,0.429688,-0.0536232026,
u_centerline,0.445312,-0.0394074790,
u_centerline,0.460938,-0.0267067681,
u_centerline,0.476562,-0.0130277291,
u_centerline,0.492188,-0.0055424189,
u_centerline,0.507812,0.0068593100,
u_centerline,0.523438,0.0167036911,
u_centerline,0.539062,0.0303852800,
u_centerline,0.554688,0.0401421682,
u_centerline,0.570312,0.0491079895,
u_centerline,0.585938,0.0547912465,
u_centerline,0.601562,0.0614618509,
u_centerline,0.617188,0.0714757456,
u_centerline,0.632812,0.0802579468,
u_centerline,0.648438,0.0872557547,
u_centerline,0.664062,0.0910602999,
u_centerline,0.679688,0.0942839022,
u_centerline,0.695312,0.0960162077,
u_centerline,0.710938,0.0998743900,
u_centerline,0.726562,0.1023016815,
u_centerline,0.742188,0.1062002124,
u_centerline,0.757812,0.1076358467,
u_centerline,0.773438,0.1099540777,
u_centerline,0.789062,0.1104263720,
u_centerline,0.804688,0.1144285030,
u_centerline,0.820312,0.1161864248,
u_centerline,0.835938,0.1220777634,
u_centerline,0.851562,0.1254227691,
u_centerline,0.867188,0.1319895331,
u_centerline,0.882812,0.1350475091,
u_centerline,0.898438,0.1423963152,
u_centerline,0.914062,0.1393421365,
u_centerline,0.929688,0.1448551765,
u_centerline,0.945312,0.1497519099,
u_centerline,0.960938,0.2701566381,
u_centerline,0.976562,0.3714617317,
u_centerline,0.992188,0.4544113473,
u_ghia,0.000000,,0.0000000000
u_ghia,0.054700,,-0.4116500000
u_ghia,0.062500,,-0.4290100000
u_ghia,0.070300,,-0.4364300000
u_ghia,0.101600,,-0.4043500000
u_ghia,0.171900,,-0.3305000000
u_ghia,0.281300,,-0.2285500000
u_ghia,0.453100,,-0.0740400000
u_ghia,0.500000,,-0.0303900000
u_ghia,0.617200,,0.0818300000
u_ghia,0.734400,,0.2008700000
u_ghia,0.851600,,0.3355600000
u_ghia,0.953100,,0.4603600000
u_ghia,0.960900,,0.4599200000
u_ghia,0.968800,,0.4612000000
u_ghia,0.976600,,0.4822300000
u_ghia,1.000000,,1.0000000000
v_centerline,0.007812,0.0338256753,
v_centerline,0.023438,0.0923847119,
v_centerline,0.039062,0.1284416611,
v_centerline,0.054688,0.1515872263,
v_centerline,0.070312,0.1687829537,
v_centerline,0.085938,0.1815878963,
v_centerline,0.101562,0.1886768411,
v_centerline,0.117188,0.1909015235,
v_centerline,0.132812,0.1877625053,
v_centerline,0.148438,0.1811939659,
v_centerline,0.164062,0.1733313911,
v_centerline,0.179688,0.1641923954,
v_centerline,0.195312,0.1564887129,
v_centerline,0.210938,0.1477668622,
v_centerline,0.226562,0.1413623511,
v_centerline,0.242188,0.1349662175,
v_centerline,0.257812,0.1301262024,
v_centerline,0.273438,0.1255663538,
v_centerline,0.289062,0.1205871946,
v_centerline,0.304688,0.1158760518,
v_centerline,0.320312,0.1108973376,
v_centerline,0.335938,0.1056112263,
v_centerline,0.351562,0.1004339705,
v_centerline,0.367188,0.0943373383,
v_centerline,0.382812,0.0858095089,
v_centerline,0.398438,0.0766697081,
v_centerline,0.414062,0.0680334161,
v_centerline,0.429688,0.0565108464,
v_centerline,0.445312,0.0468832947,
v_centerline,0.460938,0.0346069558,
v_centerline,0.476562,0.0227320209,
v_centerline,0.492188,0.0103549397,
v_centerline,0.507812,-0.0014992533,
v_centerline,0.523438,-0.0148771394,
v_centerline,0.539062,-0.0246392138,
v_centerline,0.554688,-0.0370034983,
v_centerline,0.570312,-0.0475984702,
v_centerline,0.585938,-0.0593891085,
v_centerline,0.601562,-0.0683930211,
v_centerline,0.617188,-0.0782842955,
v_centerline,0.632812,-0.0856355029,
v_centerline,0.648438,-0.0923264208,
v_centerline,0.664062,-0.0982798321,
v_centerline,0.679688,-0.1046493999,
v_centerline,0.695312,-0.1094104182,
v_centerline,0.710938,-0.1135170444,
v_centerline,0.726562,-0.1169443450,
v_centerline,0.742188,-0.1203079424,
v_centerline,0.757812,-0.1231877087,
v_centerline,0.773438,-0.1260257510,
v_centerline,0.789062,-0.1291593767,
v_centerline,0.804688,-0.1328904470,
v_centerline,0.820312,-0.1376124809,
v_centerline,0.835938,-0.1455043948,
v_centerline,0.851562,-0.1577879167,
v_centerline,0.867188,-0.1735365691,
v_centerline,0.882812,-0.1934772526,
v_centerline,0.898438,-0.2080246215,
v_centerline,0.914062,-0.2106970614,
v_centerline,0.929688,-0.1955920432,
v_centerline,0.945312,-0.1691858404,
v_centerline,0.960938,-0.1409600545,
v_centerline,0.976562,-0.1226697156,
v_centerline,0.992188,-0.0826211206,
v_ghia,0.000000,,0.0000000000
v_ghia,0.062500,,0.4244700000
v_ghia,0.070300,,0.4332900000
v_ghia,0.078100,,0.4364800000
v_ghia,0.093800,,0.4295100000
v_ghia,0.156300,,0.3536800000
v_ghia,0.226600,,0.2806600000
v_ghia,0.234400,,0.2728000000
v_ghia,0.500000,,0.0094500000
v_ghia,0.804700,,-0.3001800000
v_ghia,0.859400,,-0.3621400000
v_ghia,0.906300,,-0.4144200000
v_ghia,0.945300,,-0.5287600000
v_ghia,0.953100,,-0.5540800000
v_ghia,0.960900,,-0.5506900000
v_ghia,0.968800,,-0.4977400000
v_ghia,1.000000,,0.0000000000
